tarikh,nama_kluster,kategori_kluster,daerah
2021-05-08,Kampung Kebun Sayur,Tempat Kerja,Muar
2021-05-08,Jalan Batu Maung,Pendidikan,Barat Daya
2021-05-08,Jalan Mawar 20,Keagamaan,Johor Bahru
2021-05-08,Keramat,Komuniti,Semporna
2021-05-08,Rantau Siantan,Komuniti,Temerloh
2021-05-08,Rantau Siantan,Komuniti,Maran
2021-05-08,Rantau Siantan,Komuniti,Kuantan
2021-05-08,Rantau Siantan,Komuniti,Jerantut
2021-05-08,Dah Putih,Komuniti,Kota Setar
2021-05-08,Dah Putih,Komuniti,Kuala Muda
2021-05-08,Dah Putih,Komuniti,Kubang Pasu
2021-05-08,Lorong Kubor,Komuniti,Pasir Mas
2021-05-08,Bechah Palas,Komuniti,Pasir Mas
2021-05-08,Jelalong,Komuniti,Bintulu
2021-05-08,Jelalong,Komuniti,Sebauh
2021-05-08,Jalan Era,Tempat Kerja,Seremban
2021-05-08,Pasar Borong KL 3,Tempat Kerja,Kepong
2021-05-08,Pasar Borong KL 3,Tempat Kerja,Titiwangsa
2021-05-08,Jalan Stadium 2,Tempat Kerja,Lembah Pantai
2021-05-08,Jalan Stadium 2,Tempat Kerja,Cheras
2021-05-08,Jalan Stadium 2,Tempat Kerja,Titiwangsa
2021-05-08,Jalan Stadium 2,Tempat Kerja,Kepong
2021-05-08,Jalan Stadium 2,Tempat Kerja,Hulu Langat
2021-05-08,Jalan Stadium 2,Tempat Kerja,Petaling
2021-05-08,Jalan Stadium 2,Tempat Kerja,Kuala Langat
2021-05-08,Jalan Stadium 2,Tempat Kerja,Kuala Selangor
2021-05-08,Jalan Padang Golf,Tempat Kerja,Hulu Selangor
2021-05-08,Jalan Lima Puluh Satu,Tempat Kerja,Petaling
2021-05-08,Jalan Desaru,Tempat Kerja,Kota Tinggi
2021-05-08,Jalan Limbungan Jaya,Tempat Kerja,Melaka Tengah
2021-05-09,Sri Tualang,Komuniti,Pasir Mas
2021-05-09,Desa Murni,Pendidikan,Seberang Perai Utara
2021-05-09,Desa Murni,Pendidikan,Seberang Perai Tengah
2021-05-09,Tanah Merah,Keagamaan,Port Dickson
2021-05-09,Tanah Merah,Keagamaan,Seremban
2021-05-09,Lak Lok,Komuniti,Besut
2021-05-09,Lak Lok,Komuniti,Kota Bharu
2021-05-09,Jalan L Sungai Behrang,Komuniti,Muallim
2021-05-09,Tebedu Mawang,Komuniti,Tebedu
2021-05-09,Jalan Haji Mahmud,Keagamaan,Johor Bahru
2021-05-09,Jalan Haji Mahmud,Keagamaan,Kota Tinggi
2021-05-09,Kopitiam Kampung Selamat,Tempat Kerja,Seberang Perai Utara
2021-05-09,Kopitiam Kampung Selamat,Tempat Kerja,Seberang Perai Tengah
2021-05-09,Tapak Bina Jalan Tun Hussein Onn,Tempat Kerja,Seberang Perai Tengah
2021-05-09,Kawasan Industri Dua,Tempat Kerja,Muar
2021-05-09,Lorong Tiung,Tempat Kerja,Kuala Langat
2021-05-09,Lorong Tiung,Tempat Kerja,Klang
2021-05-09,Jalan Satu,Tempat Kerja,Gombak
2021-05-09,Jalan Stadium Negeri,Komuniti,Kuching
2021-05-09,Jalan Stadium Negeri,Komuniti,Samarahan
2021-05-09,Jalan Stadium Negeri,Komuniti,Serian
2021-05-10,Jalan Baling,Pendidikan,Hulu Perak
2021-05-10,Jalan Jurutera,Pendidikan,Petaling
2021-05-10,Jalan Jurutera,Pendidikan,Gombak
2021-05-10,Parit Lima,Komuniti,Hilir Perak
2021-05-10,Pelagat Tiga,Komuniti,Besut
2021-05-10,Kampung Sawah,Komuniti,Pontian
2021-05-10,Emperan,Komuniti,Selangau
2021-05-10,Ulu Anap,Komuniti,Tatau
2021-05-10,Ulu Anap,Komuniti,Bintulu
2021-05-10,Dah Lalang,Keagamaan,Baling
2021-05-10,Jalan Kesyukuran,Keagamaan,Kota Tinggi
2021-05-10,Pekan Pasir Mas,Keagamaan,Pasir Mas
2021-05-10,Pekan Pasir Mas,Keagamaan,Machang
2021-05-10,Desa Kemuning,Keagamaan,Klang
2021-05-10,Gudang Genting,Tempat Kerja,Bentong
2021-05-10,Kompleks Empat,Tempat Kerja,Kota Kinabalu
2021-05-10,Kompleks Empat,Tempat Kerja,Kota Belud
