tarikh,nama_kluster,kategori_kluster,negeri
2021-05-08,Kampung Kebun Sayur,Tempat Kerja,Johor
2021-05-08,Jalan Batu Maung,Pendidikan,Pulau Pinang
2021-05-08,Jalan Mawar 20,Keagamaan,Johor
2021-05-08,Keramat,Komuniti,Sabah
2021-05-08,Rantau Siantan,Komuniti,Pahang
2021-05-08,Dah Putih,Komuniti,Kedah
2021-05-08,Lorong Kubor,Komuniti,Kelantan
2021-05-08,Bechah Palas,Komuniti,Kelantan
2021-05-08,Jelalong,Komuniti,Sarawak
2021-05-08,Jalan Era,Tempat Kerja,Negeri Sembilan
2021-05-08,Pasar Borong KL 3,Tempat Kerja,WP Kuala Lumpur
2021-05-08,Jalan Stadium 2,Tempat Kerja,WP Kuala Lumpur
2021-05-08,Jalan Stadium 2,Tempat Kerja,Selangor
2021-05-08,Jalan Padang Golf,Tempat Kerja,Selangor
2021-05-08,Jalan Lima Puluh Satu,Tempat Kerja,Selangor
2021-05-08,Jalan Desaru,Tempat Kerja,Johor
2021-05-08,Jalan Limbungan Jaya,Tempat Kerja,Melaka
2021-05-09,Sri Tualang,Komuniti,Kelantan
2021-05-09,Desa Murni,Pendidikan,Pulau Pinang
2021-05-09,Tanah Merah,Keagamaan,Negeri Sembilan
2021-05-09,Lak Lok,Komuniti,Terengganu
2021-05-09,Lak Lok,Komuniti,Kelantan
2021-05-09,Jalan L Sungai Behrang,Komuniti,Perak
2021-05-09,Tebedu Mawang,Komuniti,Sarawak
2021-05-09,Jalan Haji Mahmud,Keagamaan,Johor
2021-05-09,Kopitiam Kampung Selamat,Tempat Kerja,Pulau Pinang
2021-05-09,Tapak Bina Jalan Tun Hussein Onn,Tempat Kerja,Pulau Pinang
2021-05-09,Kawasan Industri Dua,Tempat Kerja,Johor
2021-05-09,Lorong Tiung,Tempat Kerja,Selangor
2021-05-09,Jalan Satu,Tempat Kerja,Selangor
2021-05-09,Jalan Stadium Negeri,Komuniti,Sarawak
2021-05-10,Jalan Baling,Pendidikan,Perak
2021-05-10,Jalan Jurutera,Pendidikan,Selangor
2021-05-10,Parit Lima,Komuniti,Perak
2021-05-10,Pelagat Tiga,Komuniti,Terengganu
2021-05-10,Kampung Sawah,Komuniti,Johor
2021-05-10,Emperan,Komuniti,Sarawak
2021-05-10,Ulu Anap,Komuniti,Sarawak
2021-05-10,Dah Lalang,Keagamaan,Kedah
2021-05-10,Jalan Kesyukuran,Keagamaan,Johor
2021-05-10,Pekan Pasir Mas,Keagamaan,Kelantan
2021-05-10,Desa Kemuning,Keagamaan,Selangor
2021-05-10,Gudang Genting,Tempat Kerja,Pahang
2021-05-10,Kompleks Empat,Tempat Kerja,Sabah
2021-05-10,Dah Empat Kota,Tempat Kerja,Kedah
2021-05-10,Bukit Minyak Lapan,Tempat Kerja,Pulau Pinang
2021-05-10,Jalan Maharani,Tempat Kerja,Johor
2021-05-10,Jalan Raja Musa,Tempat Kerja,Selangor
2021-05-10,Balakong Jaya Tiga,Tempat Kerja,Selangor
2021-05-10,Jalan Haji Alias,Keagamaan,Selangor
2021-05-11,Jalan Lingkaran Ilmu,Pendidikan,Johor
2021-05-11,Dah Amanjaya 2,Kumpulan Berisiko Tinggi,Kedah
2021-05-11,Banggol Gajah Mati,Komuniti,Kelantan
2021-05-11,Bako Hilir,Komuniti,Sarawak
2021-05-11,Jalan Mempelam,Pendidikan,Selangor
2021-05-11,Kota Warisan,Pendidikan,Selangor
2021-05-11,Jalan Serkam,Tempat Kerja,Melaka
2021-05-11,Jalan Serkam,Tempat Kerja,Johor
2021-05-11,Jalan Sepuluh Industri Miel,Tempat Kerja,Selangor
2021-05-11,Jalan Utarid Lima,Tempat Kerja,Selangor
2021-05-11,Dah Penghulu,Keagamaan,Kedah
2021-05-11,Jalan Dato Setia,Keagamaan,Johor
2021-05-11,Pauh Lima,Keagamaan,Kelantan
2021-05-11,Jalan Haji Abdul Aziz,Keagamaan,Selangor
2021-05-12,Kebagu,Pendidikan,Sabah
2021-05-12,Jalan Muafakat,Keagamaan,Johor
2021-05-12,Lorong Taman Ipoh Dua,Kumpulan Berisiko Tinggi,Perak
2021-05-12,Tanjung Kapor,Komuniti,Sabah
2021-05-12,Kahang Timur,Komuniti,Johor
2021-05-12,Kampung Tok Sangkut,Komuniti,Kelantan
2021-05-12,Skim Penempatan Stapok,Komuniti,Sarawak
2021-05-12,Nanga Skrang,Komuniti,Sarawak
2021-05-12,Telipot,Tempat Kerja,Kelantan
2021-05-12,Jalan Terbilang,Tempat Kerja,Pulau Pinang
2021-05-12,Jalan Tembaga Industri,Tempat Kerja,Johor
2021-05-12,Jalan Segambut Pusat,Tempat Kerja,WP Kuala Lumpur
2021-05-12,Jalan Segambut Pusat,Tempat Kerja,Selangor
2021-05-12,Tapak Bina Batu Lima,Tempat Kerja,WP Kuala Lumpur
2021-05-12,Persiaran Satu,Tempat Kerja,WP Kuala Lumpur
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Selangor
2021-05-12,Industri Jalan Emas,Tempat Kerja,Selangor
2021-05-12,Tapak Bina Bukit Semenyih 2,Tempat Kerja,Selangor
2021-05-12,Persimpangan Batu Arang,Tempat Kerja,Selangor
2021-05-12,Tapak Bina Persiaran Tanjung,Tempat Kerja,Selangor
2021-05-12,Jalan Gangsa Industri,Tempat Kerja,Johor
2021-05-13,Jalan Lilin,Komuniti,Sarawak
2021-05-13,Tanjung Rimau,Keagamaan,Melaka
2021-05-13,Kongsi Lapan,Komuniti,Sabah
2021-05-13,Jalan Chain Ferry,Tempat Kerja,Pulau Pinang
2021-05-13,Jalan Keretapi Lama,Tempat Kerja,Selangor
2021-05-13,Jalan Tropika Industri,Tempat Kerja,Johor
2021-05-13,Lima Jalan Kebun,Tempat Kerja,Selangor
2021-05-13,Jalan Suasa Industri,Tempat Kerja,Johor
2021-05-14,Lebuh Katz,Kumpulan Berisiko Tinggi,Pulau Pinang
2021-05-14,Lebuh Lembah Permai,Pendidikan,Pulau Pinang
2021-05-14,Jalan Tegas,Pendidikan,Selangor
2021-05-14,Kampung Batu Muda,Keagamaan,WP Kuala Lumpur
2021-05-14,Jalan Mawar Pasak,Komuniti,Johor
2021-05-14,Sungai Rayah,Komuniti,Sarawak
2021-05-14,Dah Mahsuri,Keagamaan,Kedah
2021-05-14,Bukit Pauh,Komuniti,Terengganu
2021-05-14,Bukit Pauh,Komuniti,Pahang
2021-05-14,Bukit Pauh,Komuniti,Selangor
2021-05-14,Persiaran Utara,Tempat Kerja,Johor
2021-05-14,Menara Jalan Putra,Tempat Kerja,Pahang
2021-05-14,Tanjung Dungun,Tempat Kerja,Terengganu
2021-05-14,Jalan Perindustrian Balakong,Tempat Kerja,Selangor
2021-05-14,Sungai Lebai,Komuniti,Pahang
2021-05-15,Persiaran Lavender,Keagamaan,Negeri Sembilan
2021-05-15,Jalan Sultan Azlan Shah,Kumpulan Berisiko Tinggi,Pulau Pinang
2021-05-15,Impian Indah,Pendidikan,Selangor
2021-05-15,Jalan Alsagoff,Pendidikan,Johor
2021-05-15,Jalan Keramat Wangsa,Keagamaan,WP Kuala Lumpur
2021-05-15,Jalan Telipot,Keagamaan,Kelantan
2021-05-15,Kemunting,Keagamaan,Pahang
2021-05-15,Jalan Tey Mia Jen,Tempat Kerja,Johor
2021-05-15,Jalan Perindustrian Tiga,Tempat Kerja,Johor
2021-05-15,Jalan Bertingkat Skudai,Tempat Kerja,Johor
2021-05-15,Perusahaan Maju Lapan,Tempat Kerja,Pulau Pinang
2021-05-15,Tapak Bina Persiaran Stonor,Tempat Kerja,WP Kuala Lumpur
2021-05-15,Jalan Kilang Midah,Tempat Kerja,WP Kuala Lumpur
2021-05-15,Jalan Kilang Midah,Tempat Kerja,Selangor
2021-05-15,Sungai Pinang Tujuh,Tempat Kerja,Selangor
2021-05-15,Lebuh Sultan,Tempat Kerja,Selangor
2021-05-16,Jalan Menteri,Keagamaan,Sabah
2021-05-16,Parit Lintang,Keagamaan,Johor
2021-05-16,Jalan Semabok,Tempat Kerja,Melaka
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Selangor
2021-05-16,Jalan Abdul Hamid,Komuniti,Perak
2021-05-16,Kampung Terusan,Komuniti,Kelantan
2021-05-16,Gugusan Alam,Pendidikan,Selangor
2021-05-16,Tanah Lesen,Pendidikan,Selangor
2021-05-16,Jalan Benut Kluang,Pendidikan,Johor
2021-05-16,Jalan Sungai Panjang,Pendidikan,Selangor
2021-05-16,Kampung Boyan,Komuniti,Sarawak
2021-05-17,Parit Kassan Jegol,Keagamaan,Johor
2021-05-17,Dah Serdang,Tempat Kerja,Kedah
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Selangor
2021-05-17,Jalan Kuak Luar,Keagamaan,Perak
2021-05-17,Jalan Kuak Luar,Keagamaan,WP Kuala Lumpur
2021-05-17,Sungai Langgas,Keagamaan,Sabah
2021-05-17,Kundang Jaya,Keagamaan,Selangor
2021-05-17,Jalan Kusta,Tempat Kerja,Selangor
2021-05-17,Jalan Jambusan,Komuniti,Sarawak
2021-05-17,Taman Jati,Komuniti,Pahang
2021-05-17,Kampung Paya Teh,Komuniti,Pahang
2021-05-17,Kampung Perah,Komuniti,Kelantan
2021-05-17,Kampung Kual,Komuniti,Kelantan
2021-05-17,Taman Repek,Komuniti,Kelantan
2021-05-17,Jalan Imam Jalilul,Komuniti,Sabah
2021-05-18,Jambu Bongkok,Komuniti,Terengganu
2021-05-18,Seri Sutra,Komuniti,Perak
2021-05-18,Jelang,Komuniti,Sarawak
2021-05-18,Hulu Spaoh,Komuniti,Sarawak
2021-05-18,Gong Badak,Pendidikan,Terengganu
2021-05-18,Jalan Lima Belas,Pendidikan,WP Kuala Lumpur
2021-05-18,Jalan Lima Belas,Pendidikan,Selangor
2021-05-18,Jalan Sri Putri Empat,Pendidikan,Johor
2021-05-18,Jalan Batu Dua,Keagamaan,Negeri Sembilan
2021-05-18,Kampung Kemuning,Keagamaan,Melaka
2021-05-18,Banggol,Keagamaan,Terengganu
2021-05-18,Jalan Bukit Mutiara,Keagamaan,Johor
2021-05-18,Dah Arked,Tempat Kerja,Kedah
2021-05-18,Dah Helang,Tempat Kerja,Kedah
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Pulau Pinang
2021-05-18,Jalan Kampung Taib,Tempat Kerja,Selangor
2021-05-18,Utarid Sembilan Belas,Tempat Kerja,Selangor
2021-05-18,Jalan Besi Satu,Tempat Kerja,Johor
2021-05-18,Jalan Petaling Industri,Tempat Kerja,Johor
2021-05-18,Jalan Helang Siput,Keagamaan,WP Kuala Lumpur
2021-05-19,Kolopis,Komuniti,Sabah
2021-05-19,Jalan Inang,Komuniti,Melaka
2021-05-19,Jalan Kenanga Pertama,Keagamaan,Selangor
2021-05-19,Jalan Pusara,Keagamaan,Selangor
