tarikh,nama_kluster,kategori_kluster,negeri,daerah,jumlah_kes,jumlah_disaring
2021-05-08,Kampung Kebun Sayur,Tempat Kerja,Johor,Muar,29,152
2021-05-08,Jalan Limbungan Jaya,Tempat Kerja,Melaka,Melaka Tengah,10,53
2021-05-08,Jalan Desaru,Tempat Kerja,Johor,Kota Tinggi,19,122
2021-05-08,Jalan Lima Puluh Satu,Tempat Kerja,Selangor,Petaling,19,52
2021-05-08,Jalan Padang Golf,Tempat Kerja,Selangor,Hulu Selangor,11,60
2021-05-08,Jalan Stadium 2,Tempat Kerja,"WP Kuala Lumpur, Selangor","Lembah Pantai, Cheras, Titiwangsa, Kepong, Hulu Langat, Petaling, Kuala Langat, dan Kuala Selangor",18,85
2021-05-08,Jalan Era,Tempat Kerja,Negeri Sembilan,Seremban,79,247
2021-05-08,Jelalong,Komuniti,Sarawak,Bintulu dan Sebauh,22,198
2021-05-08,Pasar Borong KL 3,Tempat Kerja,WP Kuala Lumpur,Kepong dan Titiwangsa,17,398
2021-05-08,Lorong Kubor,Komuniti,Kelantan,Pasir Mas,16,59
2021-05-08,Dah Putih,Komuniti,Kedah,"Kota Setar, Kuala Muda, dan Kubang Pasu",42,56
2021-05-08,Rantau Siantan,Komuniti,Pahang,"Temerloh, Maran, Kuantan, dan Jerantut",15,101
2021-05-08,Keramat,Komuniti,Sabah,Semporna,9,87
2021-05-08,Jalan Mawar 20,Keagamaan,Johor,Johor Bahru,7,119
2021-05-08,Jalan Batu Maung,Institusi Pendidikan KPM,Pulau Pinang,Barat Daya,12,125
2021-05-08,Bechah Palas,Komuniti,Kelantan,Pasir Mas,51,81
2021-05-09,Kopitiam Kampung Selamat,Tempat Kerja,Pulau Pinang,"Seberang Perai Utara, dan Seberang Perai Tengah",19,65
2021-05-09,Jalan Stadium Negeri,Komuniti,Sarawak,"Kuching, Samarahan, dan Serian",17,55
2021-05-09,Jalan Satu,Tempat Kerja,Selangor,Gombak,16,87
2021-05-09,Kawasan Industri Dua,Tempat Kerja,Johor,Muar,100,124
2021-05-09,Tapak Bina Jalan Tun Hussein Onn,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,51,276
2021-05-09,Jalan Haji Mahmud,Keagamaan,Johor,"Johor Bahru, dan Kota Tinggi",14,141
2021-05-09,Lorong Tiung,Tempat Kerja,Selangor,"Kuala Langat, dan Klang",25,150
2021-05-09,Jalan L Sungai Behrang,Komuniti,Perak,Muallim,17,28
2021-05-09,Lak Lok,Komuniti,"Terengganu, dan Kelantan","Besut, dan Kota Bharu",26,115
2021-05-09,Tanah Merah,Keagamaan,Negeri Sembilan,"Port Dickson, dan Seremban",41,151
2021-05-09,Desa Murni,Institusi Pendidikan Swasta yang Berdaftar di bawah KPM,Pulau Pinang,"Seberang Perai Utara, dan Seberang Perai Tengah",29,98
2021-05-09,Sri Tualang,Komuniti,Kelantan,Pasir Mas,27,90
2021-05-09,Tebedu Mawang,Komuniti,Sarawak,Tebedu,21,107
2021-05-10,Jalan Haji Alias,Keagamaan,Selangor,Klang,13,30
2021-05-10,Balakong Jaya Tiga,Tempat Kerja,Selangor,Hulu Langat,10,15
2021-05-10,Jalan Raja Musa,Tempat Kerja,Selangor,Kuala Selangor,6,138
2021-05-10,Jalan Maharani,Tempat Kerja,Johor,Muar dan Tangkak,33,147
2021-05-10,Bukit Minyak Lapan,Tempat Kerja,Pulau Pinang,"Seberang Perai Utara, Seberang Perai Tengah, dan Seberang Perai Selatan",37,189
2021-05-10,Dah Empat Kota,Tempat Kerja,Kedah,"Kota Setar, Kuala Muda, Pendang, dan Yan",10,45
2021-05-10,Kompleks Empat,Tempat Kerja,Sabah,"Kota Kinabalu, Kota Belud, Papar, Penampang, Putatan, Ranau, Sandakan, dan Tuaran",26,97
2021-05-10,Gudang Genting,Tempat Kerja,Pahang,Bentong,14,917
2021-05-10,Desa Kemuning,Keagamaan,Selangor,Klang,10,35
2021-05-10,Pekan Pasir Mas,Keagamaan,Kelantan,Pasir Mas dan Machang,51,161
2021-05-10,Dah Lalang,Keagamaan,Kedah,Baling,13,19
2021-05-10,Ulu Anap,Komuniti,Sarawak,Tatau dan Bintulu,19,125
2021-05-10,Emperan,Komuniti,Sarawak,Selangau,97,436
2021-05-10,Kampung Sawah,Komuniti,Johor,Pontian,6,60
2021-05-10,Pelagat Tiga,Komuniti,Terengganu,Besut,32,230
2021-05-10,Parit Lima,Komuniti,Perak,Hilir Perak,10,146
2021-05-10,Jalan Jurutera,Pendidikan Lain,Selangor,Petaling dan Gombak,12,43
2021-05-10,Jalan Baling,Pendidikan Lain,Perak,Hulu Perak,41,547
2021-05-10,Jalan Kesyukuran,Keagamaan,Johor,Kota Tinggi,14,42
2021-05-11,Jalan Utarid Lima,Tempat Kerja,Selangor,Petaling,64,367
2021-05-11,Jalan Haji Abdul Aziz,Keagamaan,Selangor,Klang,7,33
2021-05-11,Pauh Lima,Keagamaan,Kelantan,Bachok dan Kota Bharu,30,50
2021-05-11,Jalan Dato Setia,Keagamaan,Johor,Johor Bahru,17,203
2021-05-11,Dah Penghulu,Keagamaan,Kedah,Kuala Muda,27,42
2021-05-11,Jalan Sepuluh Industri Miel,Tempat Kerja,Selangor,"Hulu Langat, Petaling, dan Gombak",12,190
2021-05-11,Jalan Serkam,Tempat Kerja,Melaka dan Johor,"Jasin, Melaka Tengah, dan Tangkak",20,157
2021-05-11,Kota Warisan,Institusi Pendidikan KPM,Selangor,Sepang,14,493
2021-05-11,Jalan Mempelam,Institusi Pendidikan Swasta Berdaftar di bawah KPM,Selangor,Kuala Langat,31,105
2021-05-11,Bako Hilir,Komuniti,Sarawak,Kuching,18,62
2021-05-11,Banggol Gajah Mati,Komuniti,Kelantan,Pasir Mas,28,60
2021-05-11,Dah Amanjaya 2,Kumpulan Berisiko Tinggi,Kedah,"Kuala Muda, Sik, Yan, dan Kota Setar",28,102
2021-05-11,Jalan Lingkaran Ilmu,Pendidikan Tinggi,Johor,Kulai,13,107
2021-05-12,Jalan Gangsa Industri,Tempat Kerja,Johor, Johor Bahru,15,83
2021-05-12,Tapak Bina Persiaran Tanjung,Tempat Kerja,Selangor,Sepang,53,173
2021-05-12,Persimpangan Batu Arang,Tempat Kerja,Selangor,Gombak dan Hulu Selangor,163,577
2021-05-12,Tapak Bina Bukit Semenyih 2,Tempat Kerja,Selangor,Hulu Langat dan Kuala Langat,105,169
2021-05-12,Industri Jalan Emas,Tempat Kerja,Selangor,Kuala Langat dan Klang,31,"1,588"
2021-05-12,Persiaran Masjid Lima,Tempat Kerja,Selangor,"Petaling, Klang, Kuala Langat, dan Kuala Selangor",26,212
2021-05-12,Persiaran Satu,Tempat Kerja,WP Kuala Lumpur,Cheras,27,91
2021-05-12,Tapak Bina Batu Lima,Tempat Kerja,WP Kuala Lumpur,Lembah Pantai,20,372
2021-05-12,Jalan Segambut Pusat,Tempat Kerja,WP Kuala Lumpur dan Selangor,Kepong dan Gombak,9,23
2021-05-12,Jalan Tembaga Industri,Tempat Kerja,Johor,Johor Bahru dan Kota Tinggi,24,258
2021-05-12,Telipot,Tempat Kerja,Kelantan,"Kota Bharu, Tumpat, Tanah Merah, Machang, Bachok, dan Pasir Puteh",46,188
2021-05-12,Nanga Skrang,Komuniti,Sarawak,Sri Aman,27,66
2021-05-12,Skim Penempatan Stapok,Komuniti,Sarawak,Kuching dan Bau,26,117
2021-05-12,Kampung Tok Sangkut,Komuniti,Kelantan,Pasir Mas,10,43
2021-05-12,Kahang Timur,Komuniti,Johor,Kluang,42,122
2021-05-12,Tanjung Kapor,Komuniti,Sabah,Semporna,8,9
2021-05-12,Lorong Taman Ipoh Dua,Kumpulan Berisiko Tinggi,Perak,Kinta dan Kuala Kangsar,21,50
2021-05-12,Jalan Muafakat,Keagamaan,Johor,Johor Bahru,39,163
2021-05-12,Kebagu,Institusi Pendidikan KPM,Sabah,Kota Kinabalu dan Papar,15,281`
2021-05-12,Jalan Terbilang,Tempat Kerja,Pulau Pinang,Seberang Perai Utara dan Seberang Perai Tengah,43,43
2021-05-13,Jalan Tropika Industri,Tempat Kerja,Johor,Johor Bahru,14,112
2021-05-13,Jalan Suasa Industri,Tempat Kerja,Johor,Johor Bahru,12,72
2021-05-13,Lima Jalan Kebun,Tempat Kerja,Selangor,Klang dan Kuala Langat,11,"1,226"
2021-05-13,Jalan Keretapi Lama,Tempat Kerja,Selangor,Kuala Selangor,24,81
2021-05-13,Jalan Lilin,Komuniti,Sarawak,Miri dan Lawas,22,262
2021-05-13,Kongsi Lapan,Komuniti,Sabah,Tawau,11,56
2021-05-13,Tanjung Rimau,Keagamaan,Melaka,Alor Gajah,14,51
2021-05-13,Jalan Chain Ferry,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah dan Seberang Perai Utara,14,72
2021-05-14,Sungai Lebai,Komuniti,Pahang,Pekan,26,326
2021-05-14,Jalan Perindustrian Balakong,Tempat Kerja,Selangor,Hulu Langat,138,276
2021-05-14,Tanjung Dungun,Tempat Kerja,Terengganu,"Setiu, Marang, Kuala Terengganu, Kuala Nerus, Kemaman, Dungun, dan Besut",42,201
2021-05-14,Menara Jalan Putra,Tempat Kerja,Pahang,Kuantan,29,241
2021-05-14,Bukit Pauh,Komuniti,"Terengganu, Pahang, dan Selangor","Dungun, Kuala Nerus, Kuala Terengganu, Kuantan, dan Petaling",36,214
2021-05-14,Dah Mahsuri,Keagamaan,Kedah,Kubang Pasu,50,150
2021-05-14,Persiaran Utara,Tempat Kerja,Johor,Kota Tinggi,16,128
2021-05-14,Jalan Mawar Pasak,Komuniti,Johor,Kota Tinggi,11,86
2021-05-14,Kampung Batu Muda,Keagamaan,WP Kuala Lumpur,Kepong,17,71
2021-05-14,Jalan Tegas,Pendidikan Tinggi,Selangor,"Petaling, Gombak, Klang, dan Hulu Langat",23,531
2021-05-14,Lebuh Lembah Permai,Institusi Pendidikan Swasta Berdaftar di bawah KPM,Pulau Pinang,"Seberang Perai Tengah, Timur Laut, dan Barat Daya",15,63
2021-05-14,Lebuh Katz,Kumpulan Berisiko Tinggi,Pulau Pinang,Timur Laut,36,79
2021-05-14,Sungai Rayah,Komuniti,Sarawak,Meradong,13,50
2021-05-15,Jalan Bertingkat Skudai,Tempat Kerja,Johor,Johor Bahru,18,203
2021-05-15,Lebuh Sultan,Tempat Kerja,Selangor,Klang,23,96
2021-05-15,Sungai Pinang Tujuh,Tempat Kerja,Selangor,Klang,20,106
2021-05-15,Jalan Kilang Midah,Tempat Kerja,"WP Kuala Lumpur, dan Selangor","Cheras, Lembah Pantai, dan Hulu Langat",17,28
2021-05-15,Tapak Bina Persiaran Stonor,Tempat Kerja,WP Kuala Lumpur,Lembah Pantai,29,233
2021-05-15,Perusahaan Maju Lapan,Tempat Kerja,Pulau Pinang,Seberang Perai Tengah,67,469
2021-05-15,Jalan Perindustrian Tiga,Tempat Kerja,Johor,Muar,30,358
2021-05-15,Jalan Telipot,Keagamaan,Kelantan,"Kota Bharu, dan Bachok",30,64
2021-05-15,Kemunting,Keagamaan,Pahang,Kuantan,16,140
2021-05-15,Jalan Tey Mia Jen,Tempat Kerja,Johor,Muar,29,579
2021-05-15,Jalan Keramat Wangsa,Keagamaan,WP Kuala Lumpur,Titiwangsa,31,38
2021-05-15,Jalan Alsagoff,Institusi Pendidikan KPM,Johor,Pontian,6,192
2021-05-15,Impian Indah, Pendidikan Lain,Selangor,"Gombak, dan Petaling",26,170
2021-05-15,Jalan Sultan Azlan Shah,Kumpulan Berisiko Tinggi,Pulau Pinang,"Timur Laut, dan Barat Daya",12,19
2021-05-15,Persiaran Lavender,Keagamaan,Negeri Sembilan,"Seremban, dan Kuala Pilah",39,74
2021-05-16,Kampung Boyan,Komuniti,Sarawak,Kuching,19,69
2021-05-16,Jalan Sungai Panjang, Institusi Pendidikan KPM,Selangor,Sabak Bernam,11,130
2021-05-16,Jalan Benut Kluang,Institusi Pendidikan KPM,Johor,Kluang,25,110
2021-05-16,Tanah Lesen,Institusi Pendidikan KPM,Selangor,"Sabak Bernam, Petaling dan Klang",13,72
2021-05-16,Gugusan Alam,Institusi Pendidikan Swasta Berdaftar di Bawah KPM,Selangor,Kuala Selangor,27,141
2021-05-16,Jalan Abdul Hamid,Komuniti,Perak,Kinta,19,60
2021-05-16,Jalan Kelab Golf Tiga Belas,Tempat Kerja,Selangor,"Petaling, Klang, Hulu Langat, dan Sepang",23,137
2021-05-16,Jalan Semabok,Tempat Kerja,Melaka,Melaka Tengah,11,81
2021-05-16,Parit Lintang,Keagamaan,Johor,Batu Pahat dan Johor Bahru,13,55
2021-05-16,Jalan Menteri,Keagamaan,Sabah,Kota Kinabalu dan Penampang,9,33
2021-05-16,Kampung Terusan,Komuniti,Kelantan,Kota Bharu,40,82
2021-05-17,Taman Jati,Komuniti,Pahang,Bera dan Bentong,13,36
2021-05-17,Jalan Imam Jalilul,Komuniti,Sabah,Tawau,11,32
2021-05-17,Kampung Kual,Komuniti,Kelantan,Pasir Mas,15,43
2021-05-17,Kampung Perah,Komuniti,Kelantan,Pasir Mas,22,50
2021-05-17,Kampung Paya Teh,Komuniti,Pahang,Jerantut,68,243
2021-05-17,Jalan Jambusan,Komuniti,Sarawak,Kuching dan Bau,17,50
2021-05-17,Taman Repek,Komuniti,Kelantan,Pasir Mas,9,33
2021-05-17,Kundang Jaya,Keagamaan,Selangor,Gombak,36,300
2021-05-17,Sungai Langgas,Keagamaan,Sabah,Kunak,19,54
2021-05-17,Jalan Kuak Luar,Keagamaan,Perak dan WP Kuala Lumpur,Hulu Perak dan Cheras,22,61
2021-05-17,Jalan Jambu Bol,Tempat Kerja,Selangor,"Petaling, Kuala Selangor, Klang, dan Hulu Langat",12,43
2021-05-17,Dah Serdang,Tempat Kerja,Kedah,Bandar Baharu dan Kulim,16,68
2021-05-17,Parit Kassan Jegol,Keagamaan,Johor,Batu Pahat,22,168
2021-05-17,Jalan Kusta,Tempat Kerja,Selangor,Gombak dan Petaling,70,490
2021-05-18,Jalan Helang Siput,Keagamaan,WP Kuala Lumpur,Kepong,9,66
2021-05-18,Jalan Petaling Industri,Tempat Kerja,Johor,Johor Bahru,7,275
2021-05-18,Jalan Besi Satu,Tempat Kerja,Johor,Johor Bahru,12,72
2021-05-18,Utarid Sembilan Belas,Tempat Kerja,Selangor,Petaling,12,118
2021-05-18,Jalan Kampung Taib,Tempat Kerja,Selangor,Hulu Selangor,14,180
2021-05-18,Bayan Lepas Innoplex,Tempat Kerja,Pulau Pinang,"Timur Laut, Barat Daya, Seberang Perai Utara, Seberang Perai Tengah, dan Seberang Perai Selatan",11,43
2021-05-18,Dah Helang,Tempat Kerja,Kedah,Langkawi,30,76
2021-05-18,Jalan Bukit Mutiara,Keagamaan,Johor,Johor Bahru,7,343
2021-05-18,Banggol,Keagamaan,Terengganu,Setiu,22,116
2021-05-18,Dah Arked,Tempat Kerja,Kedah,Baling,24,91
2021-05-18,Jalan Batu Dua,Keagamaan,Negeri Sembilan,Port Dickson,45,271
2021-05-18,Jalan Sri Putri Empat,Institusi Pendidikan KPM,Johor,Kulai dan Pontian,20,63
2021-05-18,Jalan Lima Belas,Institusi Pendidikan Swasta Berdaftar di Bawah KPM,WP Kuala Lumpur dan Selangor,"Cheras, Lembah Pantai, Hulu Langat, dan Petaling",12,297
2021-05-18,Gong Badak,Pendidikan Tinggi,Terengganu,"Kuala Nerus, Kuala Terengganu, dan Besut",36,409
2021-05-18,Hulu Spaoh,Komuniti,Sarawak,Betong dan Samarahan,20,48
2021-05-18,Jelang,Komuniti,Sarawak,Betong,22,141
2021-05-18,Seri Sutra,Komuniti,Perak,Kinta,16,45
2021-05-18,Jambu Bongkok,Komuniti,Terengganu,Marang dan Dungun,18,186
2021-05-18,Kampung Kemuning,Keagamaan,Melaka,Alor Gajah,24,68
2021-05-19,Industri Bukit Raja,Tempat Kerja,Selangor,Klang,21,194
2021-05-19,Jalan Endap Sawit,Tempat Kerja,Sarawak,"Samarahan, Serian, dan Kuching",29,48
2021-05-19,Jalan Tanjung Kupang,Tempat Kerja,Johor,Johor Bahru,199,953
2021-05-19,Jalan Tuan Hitam,Tempat Kerja,Terengganu,Besut,38,323
2021-05-19,Stunggang,Komuniti,Sarawak,Lundu,9,135
2021-05-19,Victoria Merdeka,Tempat Kerja,WP Labuan,Labuan,16,151
2021-05-19,Jalan Kampung Bakau,Tempat Kerja,Perlis,Kangar,7,8
2021-05-19,Paya Rumput Utama,Tempat Kerja,Melaka,Melaka Tengah,11,49
2021-05-19,Kampung Tanjong Jejulok,Komuniti,Kelantan,Pasir Mas,15,26
2021-05-19,Kampung Limau,Komuniti,WP Kuala Lumpur,Lembah Pantai,27,56
2021-05-19,Jalan 223 PJ,Tempat Kerja,Selangor,Petaling,16,71
2021-05-19,Jalan Inang,Komuniti,Melaka,Melaka Tengah,10,34
2021-05-19,Jalan Timah Empat,Keagamaan,Johor,Johor Bahru,25,94
2021-05-19,Kolopis,Komuniti,Sabah,Penampang,13,113
2021-05-19,Jalan Kenanga Pertama,Keagamaan,Selangor,Sabak Bernam,29,200
2021-05-19,Jalan Pusara,Keagamaan,Selangor,Sepang,13,28
2021-05-19,Kampung Batu Tiga,Keagamaan,Perak,Batang Padang dan Kuala Kangsar,10,66
2021-05-19,Pagar Sungai Imam,Komuniti,Sabah,Tawau,27,70
2021-05-19,Kampung Keranji,Keagamaan,Kelantan,Pasir Mas,14,37
2021-05-19,Jalan Senduduk Satu,Institusi Pendidikan KPM,Johor,Johor Bahru,16,202
2021-05-19,Muhibbah Dua,Komuniti,Sabah,Lahad Datu,14,22
2021-05-19,Taman Sri Rampai,Keagamaan,WP Kuala Lumpur,Titiwangsa,7,11
2021-05-20,Lorong Karamunsing,Tempat Kerja,Sabah,"Kota Kinabalu, Putatan, Penampang, dan Tuaran",28,106
2021-05-20,Jalan Perwira Lapan,Keagamaan,Johor,Johor Bahru,18,108
2021-05-20,Jalan Dato Dol Said,Tempat Kerja,Melaka,Alor Gajah dan Jasin,27,136
2021-05-20,Jalan Pengalat Lok Kawi,Tempat Kerja,Sabah,Papar dan Kota Kinabalu,16,71
